gene_ID	Manually_curation	lncORF	IRES	m6A	Mass_Spectrometry	Occupancy_of_Ribosomes
LINC01203	0	0	0	0	0	0
LINC01224	0	3	0	28	0	59
LINC01234	0	2	2	120	0	184
LINC01270	0	2	0	162	0	184
LINC01271	0	3	0	12	0	13
LINC01272	0	0	0	0	0	0
LINC01273	0	2	0	9	0	50
LINC01307	0	4	0	6	0	9
LINC01315	0	2	0	17	0	23
LINC01348	0	2	0	8	0	19
LINC01358	0	0	0	32	0	0
LINC01411	0	5	3	10	0	47
LINC01465	0	4	0	10	0	10
LINC01468	0	0	0	0	0	0
LINC01484	0	4	5	43	0	145
LINC01503	0	6	1	0	0	71
LINC01508	0	6	0	21	0	40
LINC01515	0	12	4	79	3	404
LINC01518	0	1	0	7	0	19
LINC01521	0	4	0	10	0	10
LINC01534	0	0	0	9	0	30
LINC01535	0	5	2	0	0	88
LINC01537	0	3	0	4	0	11
LINC01547	0	3	1	116	0	116
LINC01551	0	9	4	30	0	109
LINC01560	0	4	0	6	0	8
LINC01569	0	4	1	40	0	64
LINC01572	0	6	0	92	0	196
LINC01578	0	9	0	27	0	53
LINC01583	0	2	0	3	0	21
LINC01588	0	31	0	64	0	188
LINC01600	0	1	0	4	0	64
LINC01605	0	4	0	13	0	17
LINC01615	0	5	0	6	0	25
LL22NC03-13G6.2	0	0	0	0	0	0
LL22NC03-N95F10.1	0	0	0	0	0	0
LUCAT1	0	10	1	270	0	546
MIAT	0	37	0	182	0	406
MIATNB	0	30	1	84	0	108
MIR100HG	0	49	1	358	26	1174
MIR137HG	0	7	0	35	0	90
MIR155HG	0	6	0	2	0	23
MIR181A1HG	0	0	0	21	0	73
MIR193BHG	0	0	4	46	0	75
MIR3142HG	0	12	0	16	0	29
MIR325HG	0	0	0	0	0	0
MIR3681HG	0	6	0	2	0	97
MIR4435-2HG	0	47	0	618	1	822
MIR4458HG	0	13	0	27	0	163
MIR646HG	0	2	3	135	0	516
MIR7-3HG	0	6	0	35	0	169
MIR9-3HG	0	3	0	335	0	968
MIR99AHG	30	21	6	41	3	1142
MIRLET7BHG	0	11	0	24	0	38
MLLT4-AS1	0	0	0	0	0	0
MNX1-AS1	0	5	0	5	0	5
NUP50-AS1	0	0	0	0	0	0
OGFRP1	0	0	0	64	0	84
OLMALINC	0	22	0	324	3	386
OSER1-AS1	0	0	0	0	0	0
PART1	0	10	0	6	0	142
PAXIP1-AS1	0	0	0	4	0	7
PRKCQ-AS1	0	16	0	63	0	116
PSMG3-AS1	0	22	0	53	0	65
PVT1	0	35	1	1133	1	1480
RAB30-AS1	0	0	0	0	0	0
RAMP2-AS1	0	11	4	27	0	0
RMST	0	10	0	55	0	314
RP11-108M9.4	0	0	0	0	0	0
RP11-1094M14.11	0	0	0	0	0	0
RP11-109M17.2	0	0	0	0	0	0
RP11-10A14.4	0	0	0	0	0	0
RP11-110I1.12	0	0	0	0	0	0
RP11-111M22.3	0	0	0	0	0	0
RP11-115J23.1	0	0	0	0	0	0
RP11-120D5.1	0	0	0	0	0	0
RP11-121P12.1	0	0	0	0	0	0
RP11-128M1.1	0	0	0	0	0	0
RP11-128P17.2	0	0	0	0	0	0
RP11-129M6.1	0	0	0	0	0	0
RP11-12G12.7	0	0	0	0	0	0
RP11-13K12.1	0	0	0	0	0	0
RP11-147L13.15	0	0	0	0	0	0
RP11-158H5.7	0	0	0	0	0	0
RP11-159G9.5	0	0	0	0	0	0
RP11-15A1.3	0	0	0	0	0	0
RP11-15H20.6	0	0	0	0	0	0
RP11-160O5.1	0	0	0	0	0	0
RP11-161M6.2	0	0	0	0	0	0
RP11-166P13.3	0	0	0	0	0	0
RP11-181C3.1	0	0	0	0	0	0
RP11-209K10.2	0	0	0	0	0	0
RP11-212P7.2	0	0	0	0	0	0
RP11-218E20.3	0	0	0	0	0	0
RP11-221J22.1	0	0	0	0	0	0
RP11-221J22.2	0	0	0	0	0	0
RP11-221N13.3	0	0	0	0	0	0
RP11-242D8.1	0	0	0	0	0	0
RP11-244M2.1	0	0	0	0	0	0
RP11-259K15.2	0	0	0	0	0	0
RP11-260M19.1	0	0	0	0	0	0
RP11-266L9.5	0	0	0	0	0	0
RP11-267M23.4	0	0	0	0	0	0
RP11-271F18.4	0	0	0	0	0	0
RP11-276H19.1	0	0	0	0	0	0
RP11-276H19.2	0	0	0	0	0	0
RP11-286B14.1	0	0	0	0	0	0
RP11-290F5.2	0	0	0	0	0	0
RP11-297P16.4	0	0	0	0	0	0
RP11-307P5.1	0	0	0	0	0	0
RP11-30J20.1	0	0	0	0	0	0
RP11-316I3.2	0	0	0	0	0	0
RP11-320M2.1	0	0	0	0	0	0
RP11-326I11.3	0	0	0	0	0	0
RP11-326I11.4	0	0	0	0	0	0
RP11-332H14.2	0	0	0	0	0	0
RP11-347C12.10	0	0	0	0	0	0
RP11-347E10.1	0	0	0	0	0	0
RP11-348J24.2	0	0	0	0	0	0
RP11-350N15.5	0	0	0	0	0	0
RP11-351D16.3	0	0	0	0	0	0
RP11-356J5.12	0	0	0	0	0	0
RP11-357H14.17	0	0	0	0	0	0
RP11-357K6.1	0	0	0	0	0	0
RP11-37B2.1	0	0	0	0	0	0
RP11-384F7.2	0	0	0	0	0	0
RP11-38M8.1	0	0	0	0	0	0
RP11-395G23.3	0	0	0	0	0	0
RP11-396C23.2	0	0	0	0	0	0
RP11-399H11.2	0	0	0	0	0	0
RP11-400K9.4	0	0	0	0	0	0
RP11-403A21.1	0	0	0	0	0	0
RP11-410L14.2	0	0	0	0	0	0
RP11-412H8.2	0	0	0	0	0	0
RP11-420A23.1	0	0	0	0	0	0
RP11-422P24.11	0	0	0	0	0	0
RP11-435O5.2	0	0	0	0	0	0
RP11-440D17.3	0	0	0	0	0	0
RP11-443B7.1	0	0	0	0	0	0
RP11-446N19.1	0	0	0	0	0	0
RP11-448A19.1	0	0	0	0	0	0
RP11-452F19.3	0	0	0	0	0	0
RP11-455P21.3	0	0	0	0	0	0
RP11-458D21.1	0	0	0	0	0	0
RP11-466I1.1	0	0	0	0	0	0
RP11-470M17.2	0	0	0	0	0	0
RP11-47I22.2	0	0	0	0	0	0
RP11-484N16.1	0	0	0	0	0	0
RP11-488L18.8	0	0	0	0	0	0
RP11-498P14.5	0	0	0	0	0	0
RP11-525A16.4	0	0	0	0	0	0
RP11-527D7.1	0	0	0	0	0	0
RP11-527L4.2	0	0	0	0	0	0
RP11-539G18.3	0	0	0	0	0	0
RP11-539L10.3	0	0	0	0	0	0
RP11-53M11.3	0	0	0	0	0	0
RP1-153P14.8	0	0	0	0	0	0
RP11-540A21.2	0	0	0	0	0	0
RP11-54A9.1	0	0	0	0	0	0
RP11-54C4.3	0	0	0	0	0	0
RP11-54H7.4	0	0	0	0	0	0
RP11-553A10.1	0	0	0	0	0	0
RP11-554I8.2	0	0	0	0	0	0
RP11-563K23.1	0	0	0	0	0	0
RP11-563N4.1	0	0	0	0	0	0
RP11-576D8.4	0	0	0	0	0	0
RP11-57A19.2	0	0	0	0	0	0
RP11-57C13.6	0	0	0	0	0	0
RP11-586D19.1	0	0	0	0	0	0
RP11-587P21.2	0	0	0	0	0	0
RP11-608O21.1	0	0	0	0	0	0
RP11-61K9.3	0	0	0	0	0	0
RP11-620J15.3	0	0	0	0	0	0
RP11-624L4.1	0	0	0	0	0	0
RP11-627G23.1	0	0	0	0	0	0
RP11-657O9.1	0	0	0	0	0	0
RP11-66B24.2	0	0	0	0	0	0
RP11-689K5.3	0	0	0	0	0	0
RP11-693J15.5	0	0	0	0	0	0
RP11-6J21.2	0	0	0	0	0	0
RP11-713P17.3	0	0	0	0	0	0
RP11-727A23.5	0	0	0	0	0	0
RP11-734I18.1	0	0	0	0	0	0
RP11-756G20.1	0	0	0	0	0	0
RP11-758H9.2	0	0	0	0	0	0
RP11-77K12.9	0	0	0	0	0	0
RP11-783K16.13	0	0	0	0	0	0
RP11-806H10.4	0	0	0	0	0	0
RP11-834C11.4	0	0	0	0	0	0
RP11-835E18.5	0	0	0	0	0	0
RP11-838N2.3	0	0	0	0	0	0
RP11-838N2.5	0	0	0	0	0	0
RP11-85G18.6	0	0	0	0	0	0
RP11-867G23.10	0	0	0	0	0	0
RP11-879F14.2	0	0	0	0	0	0
RP11-886D15.1	0	0	0	0	0	0
RP11-89K21.1	0	0	0	0	0	0
RP11-982M15.6	0	0	0	0	0	0
RP11-998D10.4	0	0	0	0	0	0
RP1-269M15.3	0	0	0	0	0	0
RP13-349O20.2	0	0	0	0	0	0
RP1-46F2.3	0	0	0	0	0	0
RP3-390M24.1	0	0	0	0	0	0
RP3-460G2.2	0	0	0	0	0	0
RP3-486I3.7	0	0	0	0	0	0
RP3-522D1.1	0	0	0	0	0	0
RP4-555D20.4	0	0	0	0	0	0
RP4-621F18.2	0	0	0	0	0	0
RP4-633O19__A.1	0	0	0	0	0	0
RP4-665J23.1	0	0	0	0	0	0
RP4-717I23.3	0	0	0	0	0	0
RP5-1021I20.2	0	0	0	0	0	0
RP5-1028K7.2	0	0	0	0	0	0
RP5-1061H20.4	0	0	0	0	0	0
RP5-1172A22.1	0	0	0	0	0	0
RP5-1198O20.4	0	0	0	0	0	0
RP5-832C2.5	0	0	0	0	0	0
RP6-65G23.3	0	0	0	0	0	0
SCAMP1-AS1	3	6	1	28	0	54
SERPINB9P1	0	10	0	100	0	107
SFTA1P	0	7	0	41	0	54
SNHG18	0	5	0	6	0	15
SOX21-AS1	0	0	0	3	0	22
SOX9-AS1	0	6	0	53	0	392
SPACA6P	0	0	0	0	0	0
SPATA13	0	0	0	0	0	0
SPATA3-AS1	0	3	0	10	1	77
SRP14-AS1	3	3	0	20	0	52
SSTR5-AS1	0	6	0	13	0	22
SUCLG2-AS1	0	4	0	103	9	176
TINCR	0	0	0	0	0	0
TP53TG1	0	9	0	51	0	84
TRAM2-AS1	0	18	0	181	0	290
TRIM52-AS1	0	7	0	16	0	20
TTLL11-IT1	0	0	0	4	0	5
TTTY15	0	0	0	0	0	0
TUNAR	0	0	0	0	0	0
UCA1	0	174	0	381	0	399
URB1-AS1	1	4	0	4	0	4
USP27X-AS1	0	6	0	15	0	18
WFDC21P	0	0	0	0	0	0
WI2-87327B8.2	0	0	0	0	0	0
XIST	0	69	0	690	19	893
XXyac-YM21GA2.4	0	0	0	0	0	0
ZNF582-AS1	0	18	0	0	0	36
ZNF667-AS1	25	27	1	92	0	219
ZNF674-AS1	0	7	0	2	0	36
ZNF883	0	0	0	0	0	0
ZNF888	0	0	0	0	0	0
