Transcript_ID	Gene_ID	Biotype	Translated_sample_number	Transcribed_sample_number	Translated_samples	Transcribed_samples
ENST00000502535.1	ENSG00000153130.17	protein_coding	29	1	SRX474113,SRR1803151,SRR1803188,SRR1803190,SRR1551165,SRR1562540,SRR1562542,SRR1562543,SRR935449,SRX870805,SRR403883,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR627625,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680969	SRR1042900
ENST00000346991.9	ENSG00000137812.19	protein_coding	50	1	SRX474113,SRR1803147,SRR1803151,SRR1803153,SRR1803186,SRR1803188,SRR1803190,SRR1551165,SRR1551155,SRR935448,SRR935449,GSE48933,SRR1573939,SRR931815,SRX870805,SRR403883,SRR403889,SRR1042900,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627621,SRR627625,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562539
ENST00000569336.1	ENSG00000128973.11	processed_transcript	21	1	SRX474113,SRR935448,SRR935449,GSE48933,SRX870805,SRR970538,SRR970565,SRR970587,SRR970588,SRR1976444,SRR1976445,SRR1976447,SRR810100,SRR1630831,SRR1758378,SRR1758379,SRR3208870,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1042900
ENST00000376483.8	ENSG00000137343.17	protein_coding	1	1	SRR970490	SRR935449
ENST00000228820.8	ENSG00000111224.13	protein_coding	18	2	SRX474113,SRR1562540,GSE48933,SRX870804,SRX870805,SRR403889,SRR1630831,SRR3130940,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900,SRR627620
ENST00000328070.10	ENSG00000197951.8	protein_coding	5	1	SRR1551165,SRX870805,SRR1630831,SRR3208871,SRR3680968	SRR1042900
ENST00000553938.5	ENSG00000070182.17	protein_coding	2	1	SRR1562540,GSE48933	SRR1562542
ENST00000571485.5	ENSG00000006047.12	retained_intron	9	4	SRR1758378,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1562541,SRR1562543,SRR1042900,SRR970561
ENST00000287152.11	ENSG00000164627.17	protein_coding	5	1	SRR1562540,SRX870805,SRR1630831,SRR3208864,SRR3208865	SRR1042900
ENST00000594681.5	ENSG00000197928.10	protein_coding	1	2	SRR3208885	SRR1042900,SRR970588
ENST00000600643.5	ENSG00000269416.5	lincRNA	6	1	SRR1573939,SRR1976446,SRR1976447,SRR1976448,SRR1758378,SRR1758379	SRR627620
ENST00000326828.5	ENSG00000080644.15	protein_coding	10	10	SRX474113,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR403883,SRR403889,SRR1042900,SRR970538,SRR970561,SRR970587,SRR970588,SRR627625,SRR3680967,SRR3680969
ENST00000474195.1	ENSG00000124831.18	retained_intron	1	1	SRR810100	SRR1042900
ENST00000600766.1	ENSG00000268696.1	unprocessed_pseudogene	2	1	SRR1758378,SRR1758379	SRR1042900
ENST00000379361.4	ENSG00000165186.10	protein_coding	8	2	SRR1562540,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR1173905,SRR1042900
ENST00000297323.11	ENSG00000164742.14	protein_coding	12	3	SRR1562540,SRR1562541,SRR1562543,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1562542,SRR403889,SRR810100
ENST00000227451.3	ENSG00000110042.7	protein_coding	22	1	SRR1803147,SRR1803151,SRR1803188,SRR1803190,SRR1562540,SRR1562542,GSE48933,SRX870805,SRR970538,SRR970565,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1173905
ENST00000474783.1	ENSG00000007372.20	retained_intron	1	1	SRR1976446	SRR1803153
ENST00000359237.8	ENSG00000170965.9	protein_coding	9	1	SRX474113,SRX870805,SRR970538,SRR970565,SRR1758378,SRR1758379,SRR3208865,SRR3680966,SRR3680968	SRR1562539
ENST00000412982.5	ENSG00000072195.14	protein_coding	1	2	SRR627625	SRR1562539,SRR627621
ENST00000567684.2	ENSG00000176387.6	processed_transcript	3	1	SRR970490,SRR970565,SRR970588	SRR1803153
ENST00000460534.1	ENSG00000163535.17	processed_transcript	8	1	SRR403889,SRR970490,SRR970587,SRR970588,SRR1976445,SRR1976447,SRR1758378,SRR3680968	SRR1551155
ENST00000414671.1	ENSG00000119125.16	protein_coding	3	2	SRR970561,SRR970565,SRR970587	SRX870805,SRR1630831
ENST00000496661.1	ENSG00000164082.14	processed_transcript	1	1	SRR3208870	GSE48933
ENST00000607947.1	ENSG00000234684.6	antisense	2	8	SRR970490,SRR970565	SRR1803188,SRR1551155,SRR1562539,SRR1562542,SRR1562543,SRR1042900,SRR627620,SRR627625
ENST00000255409.7	ENSG00000133048.12	protein_coding	11	1	SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR1976443,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR3208865,SRR3208897	SRR1042900
ENST00000293190.9	ENSG00000161509.13	protein_coding	2	2	SRR1562540,SRR1562542	SRR931815,SRR627621
ENST00000020926.7	ENSG00000019505.7	protein_coding	15	1	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR970561,SRR970565,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680969	SRX870805
ENST00000380605.2	ENSG00000088882.7	protein_coding	15	2	SRR1803151,SRR1803186,SRR1803188,SRR1803190,SRR1562542,SRR1562543,SRR1507056,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900,SRR627625
ENST00000510901.5	ENSG00000164120.13	protein_coding	1	1	SRX870805	SRR1803147
ENST00000469165.6	ENSG00000182185.18	processed_transcript	1	1	SRR1803151	SRR1562541
ENST00000436383.1	ENSG00000238266.1	lincRNA	13	8	SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976444,SRR1976446,SRR1976448,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1173905,SRR1562540,SRR1562541,SRR1562542,SRX870805,SRR627620,SRR627621,SRR627625
ENST00000583337.2	ENSG00000266265.2	protein_coding	2	1	SRX870805,SRR1630831	SRR1042900
ENST00000580790.1	ENSG00000271816.1	processed_transcript	1	2	SRR970565	SRR1562543,SRR1042900
ENST00000624783.3	ENSG00000131089.13	processed_transcript	9	2	SRR1803151,SRR1803188,SRR1803190,SRR970565,SRR810100,SRR3208864,SRR3208865,SRR3208870,SRR3208885	SRR935448,SRR1507056
ENST00000378980.7	ENSG00000122756.14	protein_coding	15	1	SRX474113,SRR1551155,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000424859.5	ENSG00000187416.11	protein_coding	8	3	SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208865,SRR3208885,SRR3208897,SRR3208898	SRR1803153,SRR1042900,SRR970538
ENST00000334342.5	ENSG00000139971.15	processed_transcript	7	1	SRR1562540,SRR1562541,SRR1562542,SRR1562543,GSE48933,SRR3208886,SRR3208898	SRR1630831
ENST00000391859.6	ENSG00000104894.11	nonsense_mediated_decay	3	6	SRR1803151,SRR1803188,SRR1803190	SRR935449,SRR403883,SRR1042900,SRR627620,SRR627621,SRR627625
ENST00000573538.5	ENSG00000213398.7	nonsense_mediated_decay	2	2	SRR1562542,SRR3208864	SRX870805,SRR627625
ENST00000442625.2	ENSG00000126217.20	nonsense_mediated_decay	8	2	SRX870804,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR1562539,SRR1562543
ENST00000531661.1	ENSG00000254473.1	antisense	1	4	SRR3208865	SRR1042900,SRR627621,SRR627625,SRR1507056
ENST00000591283.1	ENSG00000267506.5	lincRNA	1	2	SRR1562540	SRR1173905,SRX870805
ENST00000226091.2	ENSG00000108947.4	protein_coding	20	1	SRX474113,SRR1551155,SRR1562539,SRR1562540,SRR1562541,SRR1562542,GSE48933,SRX870805,SRR403889,SRR1976443,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR627625
ENST00000302625.5	ENSG00000171450.5	protein_coding	8	1	SRR1562539,SRR1562541,GSE48933,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208885	SRR403889
ENST00000328741.5	ENSG00000182575.7	protein_coding	9	1	SRR1562540,SRR1562542,SRR810100,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR627625
ENST00000270861.9	ENSG00000142731.10	protein_coding	42	1	SRX474113,SRR1803151,SRR1803186,SRR1803188,SRR1551165,SRR1551155,SRR935448,GSE48933,SRR1573939,SRR931815,SRX870805,SRR403883,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627621,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208871,SRR3208885,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562539
ENST00000331161.8	ENSG00000151023.16	protein_coding	10	4	SRR1562540,SRR1562542,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1173905,SRR1042900,SRR970538,SRR1507056
ENST00000496437.1	ENSG00000203805.10	processed_transcript	1	3	SRR1976443	SRR403883,SRR1042900,SRR627621
ENST00000293443.11	ENSG00000161682.14	protein_coding	32	1	SRX474113,SRR1551165,SRR1551155,SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,GSE48933,SRR1573939,SRX870805,SRR403889,SRR970565,SRR1976443,SRR1976444,SRR1976445,SRR1976447,SRR1507056,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680969	SRR627621
ENST00000520913.1	ENSG00000249859.7	lincRNA	5	1	SRR1803151,SRR970490,SRR970538,SRR970565,SRR970588	SRR627621
ENST00000504531.2	ENSG00000249395.2	lincRNA	2	8	SRX870805,SRR1630831	SRR1551155,SRR1562542,SRR970588,SRR3208864,SRR3208865,SRR3208870,SRR3208885,SRR3208886
ENST00000433484.2	ENSG00000123485.11	nonsense_mediated_decay	2	2	SRR970587,SRR970588	SRR1562539,SRR627625
ENST00000462467.5	ENSG00000157538.13	processed_transcript	2	3	SRR403889,SRR970565	SRR1551165,SRR627620,SRR627621
ENST00000589516.1	ENSG00000226742.3	nonsense_mediated_decay	5	1	SRR1573939,SRR403889,SRR970561,SRR1630831,SRR3208864	SRR1562543
ENST00000592160.5	ENSG00000184635.13	protein_coding	2	2	SRR1976445,SRR1976447	SRR403883,SRR1042900
ENST00000317012.4	ENSG00000177494.5	protein_coding	2	3	SRR1803153,SRR970588	GSE48933,SRR403889,SRR810100
ENST00000560542.1	ENSG00000213928.8	retained_intron	8	1	SRR935448,SRR627625,SRR1758378,SRR1758379,SRR3208865,SRR3208870,SRR3208871,SRR3208898	SRR1173905
ENST00000487263.5	ENSG00000143033.17	processed_transcript	15	1	SRX474113,SRR1803151,SRX870805,SRR970490,SRR970538,SRR1976443,SRR1976447,SRR627625,SRR1630831,SRR3130941,SRR1758378,SRR1758379,SRR3208870,SRR3208871,SRR3208898	SRR1562539
ENST00000261978.8	ENSG00000119681.11	protein_coding	34	1	SRX474113,SRR1551155,SRR935448,SRR935449,GSE48933,SRR1573939,SRX870805,SRR403883,SRR403889,SRR970538,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627621,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000595419.5	ENSG00000012124.14	processed_transcript	2	3	SRR1803188,SRR1803190	SRR1562539,SRR1562541,SRR627620
ENST00000457069.1	ENSG00000128191.13	protein_coding	4	1	SRX870805,SRR970490,SRR970538,SRR970565	SRR627620
ENST00000272433.6	ENSG00000144040.12	protein_coding	40	1	SRX474113,SRR1803186,SRR1803188,SRR1551165,SRR1551155,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,GSE48933,SRR1573939,SRX870805,SRR403889,SRR970538,SRR970561,SRR970565,SRR970588,SRR1976443,SRR1976444,SRR1976446,SRR1976447,SRR1976448,SRR810100,SRR1630831,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR627620
ENST00000391713.5	ENSG00000131848.9	protein_coding	23	2	SRR1803151,SRR1803190,SRR931815,SRX870805,SRR403889,SRR970490,SRR970538,SRR970565,SRR1976443,SRR1976444,SRR1976445,SRR1976447,SRR1758378,SRR1758379,SRR3208865,SRR3208870,SRR3208885,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562539,SRR1042900
ENST00000595796.5	ENSG00000017483.14	protein_coding	19	2	SRR1803151,SRR1803153,SRR1803186,SRR1803188,SRR1803190,SRR1562540,SRR1562542,SRR1562543,SRR931815,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1042900,SRR627625
ENST00000272371.6	ENSG00000115155.16	protein_coding	9	2	SRR1562540,SRR1562541,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3680969	SRR1173905,SRR1042900
ENST00000616796.4	ENSG00000234456.7	antisense	7	1	SRX870805,SRR1976448,SRR1758378,SRR3208864,SRR3208865,SRR3208870,SRR3208898	SRR1042900
ENST00000617876.4	ENSG00000125814.17	protein_coding	37	1	SRX474113,SRR1803153,SRR1803190,SRR1551165,SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,SRR1573939,SRX870805,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970588,SRR1976445,SRR1976446,SRR1976448,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680969	SRR1042900
ENST00000534690.5	ENSG00000236287.7	protein_coding	4	1	SRR970490,SRR970588,SRR3208871,SRR3680969	SRR1562539
ENST00000368054.7	ENSG00000066294.14	protein_coding	1	1	SRR1910731	SRR1173905
ENST00000557962.1	ENSG00000232386.9	lincRNA	1	2	SRR970565	SRR1562539,SRR1562541
ENST00000317501.7	ENSG00000140538.16	protein_coding	12	1	SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000439649.7	ENSG00000151892.14	protein_coding	10	1	SRX474113,SRR1562540,SRR935448,SRX870805,SRR1976444,SRR1976445,SRR1976446,SRR1976448,SRR3208865,SRR3208897	SRR1042900
ENST00000472967.2	ENSG00000188647.12	protein_coding	26	3	SRR935448,SRR1573939,SRX870805,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR627625,SRR3130940,SRR3130941,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3680966,SRR3680968,SRR3680969	SRR1562539,SRR1562543,SRR627620
ENST00000412295.2	ENSG00000248103.1	lincRNA	2	12	SRR970588,SRR3208898	SRR1562542,SRR1562543,SRX870805,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR627621,SRR810100,SRR1630831,SRR1758378,SRR1758379
ENST00000264613.10	ENSG00000047457.13	protein_coding	7	1	SRR1562543,SRR3208870,SRR3208871,SRR3208886,SRR3208897,SRR3208898,SRR3680969	SRR1173905
ENST00000520433.5	ENSG00000251003.7	antisense	1	1	SRR1573939	SRR1042900
ENST00000598623.1	ENSG00000269707.1	sense_overlapping	11	1	SRR1551155,SRR1562540,GSE48933,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000476243.5	ENSG00000166582.9	nonsense_mediated_decay	45	2	SRX474113,SRR1803151,SRR1803153,SRR1803186,SRR1803188,SRR1803190,SRR1551165,SRR935448,SRR935449,GSE48933,SRR1573939,SRX870805,SRR1042900,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1507056,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR403883,SRR403889
ENST00000570443.2	ENSG00000204110.6	lincRNA	1	2	SRR3208897	SRR1562541,SRR3680967
ENST00000512792.2	ENSG00000111271.14	retained_intron	2	2	SRR1976445,SRR1976447	SRR1562541,SRR931815
ENST00000497310.1	ENSG00000168309.16	processed_transcript	1	4	SRR3208870	SRR1803147,SRR1562539,SRR1562540,SRR1976444
ENST00000491106.1	ENSG00000060688.12	processed_transcript	2	2	SRR970538,SRR970565	SRR1562539,SRR1562543
ENST00000466796.1	ENSG00000160055.19	retained_intron	11	1	SRX870805,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976448,SRR627625,SRR810100,SRR3208865,SRR3208870,SRR3208897	SRR1562542
ENST00000545306.2	ENSG00000189186.10	protein_coding	1	1	SRR1551155	SRR970588
ENST00000331968.9	ENSG00000184304.14	protein_coding	31	1	SRX474113,SRR1551165,SRR1551155,SRR1562540,SRR1562542,SRR1562543,SRR935448,GSE48933,SRR931815,SRX870805,SRR403883,SRR403889,SRR970565,SRR970588,SRR1976443,SRR1976445,SRR1976446,SRR1976448,SRR627621,SRR810100,SRR1630831,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000375486.8	ENSG00000117115.12	protein_coding	19	1	SRX474113,SRR1803151,SRR1803153,SRR1803190,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRX870805,SRR1630831,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR1042900
ENST00000273668.6	ENSG00000145088.8	protein_coding	16	1	SRX474113,SRR1803186,SRR1803188,SRR1803190,GSE48933,SRX870805,SRR970538,SRR970561,SRR970565,SRR970588,SRR1976443,SRR1630831,SRR1758378,SRR1758379,SRR3208870,SRR3680966	SRR1562541
